id;name;cif;token;industry;company_size;subscription_plan_id
1;Isle;benchmark;Loan payment;CLOTHES;SMALL;1
2;Health drive withdrawal;Representative;teal reboot invoice;IT;INTERNATIONAL;2
3;content backing;mobile Small;explicit;IT;STARTUP;3
4;Configuration;Greece Australian;Technician Road;IT;MEDIUM;4
5;Towels Tuna architecture;Philippines;CSS;CLOTHES;STARTUP;5
6;China;relationships monetize next-generation;virtual Concrete;AUTOMOTIVE;INTERNATIONAL;6
7;Caribbean;Investment Extensions application;Mouse magnetic SCSI;IT;LARGE;7
8;Bedfordshire mint;Shoes maroon;Gorgeous Fantastic;IT;SMALL;8
9;Solomon Grass-roots monitor;Seamless withdrawal;Card Central solution;CLOTHES;INTERNATIONAL;9
10;Pants;dynamic indexing RAM;Ruble Gorgeous mobile;CLOTHES;MEDIUM;10
