id;name;description;max_products;max_photos;active
1;withdrawal Dakota;Port AGP;92631;79051;false
2;programming Lao;Configuration purple;84556;65104;true
3;Arabia Enterprise-wide;quantifying Generic;69012;82138;true
4;hack Malta Pataca;quantifying;37244;57851;true
5;Assistant Personal Future;Account;35171;21382;false
6;context-sensitive enable;Pants Street;98547;64019;false
7;Jersey transitional;Enterprise-wide copy Research;50777;26227;false
8;Wooden;Division;89866;88877;false
9;yellow Berkshire Fresh;Consultant Technician;32912;53098;true
10;calculate Cambodia HTTP;Avon Grocery structure;26065;59178;true
