id;name;description;category;max_products;max_spaces;max_requests
1;Internal;override;SILVER;82291;38469;95010
2;payment;Integrated Bedfordshire;PLATINUM;96249;22244;61617
3;Strategist microchip quantifying;bleeding-edge User-friendly Fresh;SILVER;7120;99061;74199
4;partnerships Plastic;emulation Grocery;SILVER;52501;20236;62425
5;Tunisia Route Peso;Agent;GOLD;40005;26316;80613
6;Functionality Rustic synergies;Credit dynamic Grass-roots;SILVER;46647;77816;29513
7;Azerbaijan;Automotive orange;GOLD;30494;89524;86479
8;Corner Shirt Liaison;optical Island Investment;GOLD;76347;32659;97419
9;Futuna Internal Refined;Delaware Assurance;BRONZE;82687;60241;66816
10;turquoise Pants Avon;Corporate Cambridgeshire;SILVER;47608;93209;92012
